timestamp,image_path,pred_lon,pred_lat,pred_alt,gt_lon,gt_lat,gt_alt,pred_east_m,pred_north_m,pixel_dx,pixel_dy,rotation_deg,affine_scale,match_confidence,num_matches,num_inliers,matcher_backend,yaw_deg,method,flight_phase,is_keyframe_reset,horizontal_error,altitude_error
1734763664200,F:\agent\UAV\data\IR-image\1734763664200.jpg,116.168975,38.8121207,483.54,116.168975,38.8121207,483.54,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,loftr,-99.59241923349008,scheme_b_initial,NA,False,0.0,0.0
1734763664400,F:\agent\UAV\data\IR-image\1734763664400.jpg,116.16902969427314,38.81212295366838,483.54,116.1690312,38.8121209,484.06,4.744243834242217,0.2508783638597224,-2.9133817857872373,13.012986489435548,-0.6073009361202809,1.0005297462306333,0.9414990859232175,1641,1545,loftr,-99.59241923349008,scheme_b_pairwise,NA,False,0.26299734385377316,0.5199999999999818
1734763664600,F:\agent\UAV\data\IR-image\1734763664600.jpg,116.16906879245875,38.81212565516984,483.54,116.1690873,38.8121209,484.58,8.135665190888496,0.5516095058829734,-2.418595493173086,9.245551129983937,-0.31847348791896113,1.0014010816557852,0.85028427037271,1583,1346,loftr,-99.59241923349008,scheme_b_pairwise,NA,False,1.688488929519672,1.0399999999999636
1734763664800,F:\agent\UAV\data\IR-image\1734763664800.jpg,116.1691331354783,38.81214522632637,483.54,116.1691435,38.8121208,485.11,13.716852330505827,2.730270651629558,-8.640245547427924,14.427650475230962,-0.4159563463277993,1.0026249611555382,0.9314391599752934,1619,1508,loftr,-99.59241923349008,scheme_b_pairwise,NA,False,2.860694472349386,1.5699999999999932
1734763665000,F:\agent\UAV\data\IR-image\1734763665000.jpg,116.16918221465048,38.81215125920573,483.54,116.1691998,38.8121208,485.62,17.97403588207918,3.401850781567185,-3.849915851112087,11.468205516428611,-0.19274759457024082,1.0012307739101258,0.9929701230228472,1707,1695,loftr,-99.59241923349008,scheme_b_pairwise,NA,False,3.713856347163687,2.079999999999984
1734763665200,F:\agent\UAV\data\IR-image\1734763665200.jpg,116.1692439140419,38.81215869860108,483.54,116.169256,38.8121206,486.12,23.325911692042986,4.230004272446578,-4.795277974377768,14.424678451508612,0.06256586100542712,1.0002595844511881,0.9247478665632273,1289,1192,loftr,-99.59241923349008,scheme_b_pairwise,NA,False,4.363881493012216,2.579999999999984
1734763665400,F:\agent\UAV\data\IR-image\1734763665400.jpg,116.16928440570413,38.81219074898478,483.54,116.1693123,38.8121203,486.59,26.838204805621928,7.7978529857698575,-11.517317080563032,8.051939229516165,0.3087555338159212,1.0006611257408144,0.9389027431421446,1604,1506,loftr,-99.59241923349008,scheme_b_pairwise,NA,False,8.197940517024614,3.0499999999999545
1734763665600,F:\agent\UAV\data\IR-image\1734763665600.jpg,116.16929994609488,38.81225457664866,483.54,116.1693685,38.81212,487.15,28.18619608067554,14.903148528820724,-20.295358634923332,0.40736101857095264,-0.023350114030295,1.0023934899178935,0.9908883826879271,1756,1740,loftr,-99.59241923349008,scheme_b_pairwise,NA,False,16.09999786668255,3.609999999999957
1734763665800,F:\agent\UAV\data\IR-image\1734763665800.jpg,116.16935650670322,38.81226252829231,483.54,116.1694246,38.8121198,487.76,33.09232796624041,15.788325499475707,-4.744608684091986,13.16435059509024,-0.0982930953272068,1.000843997911207,0.9662921348314607,1513,1462,loftr,-99.59241923349008,scheme_b_pairwise,NA,False,16.93183142529281,4.21999999999997
1734763666000,F:\agent\UAV\data\IR-image\1734763666000.jpg,116.16938081466267,38.81223227959082,483.54,116.1694808,38.8121197,488.33,35.20082818319061,12.421040050124681,8.333197419457122,7.410549547171968,-0.15142658827001976,1.001147418150378,0.981764705882353,1700,1669,loftr,-99.59241923349008,scheme_b_pairwise,NA,False,15.22357093695103,4.789999999999964
1734763666200,F:\agent\UAV\data\IR-image\1734763666200.jpg,116.1694020363916,38.812184459815924,483.54,116.169537,38.8121196,488.97,37.041625232500465,7.0977427084073215,13.871936284733863,7.584537647445359,-0.3681520505431661,1.0010844541742059,0.940745672436751,1502,1413,loftr,-99.59241923349008,scheme_b_pairwise,NA,False,13.738929965890076,5.430000000000007
1734763666400,F:\agent\UAV\data\IR-image\1734763666400.jpg,116.1694563226047,38.812140677428644,483.54,116.1695933,38.8121197,489.59,41.75047347264768,2.2238873568964683,11.286561401936694,15.31203462921809,-0.12170700788561073,1.0022930837050796,0.9147727272727273,1584,1449,loftr,-99.59241923349008,scheme_b_pairwise,NA,False,12.095293004067157,6.0499999999999545
1734763666600,F:\agent\UAV\data\IR-image\1734763666600.jpg,116.16950617063883,38.812195770899564,483.54,116.1696498,38.8121196,490.14,46.07434899021415,8.356892539260754,-18.996335809335847,9.09829242697964,-0.1950821759740116,1.0021331869327796,0.9964932787843367,1711,1705,loftr,-99.59241923349008,scheme_b_pairwise,NA,False,15.053430837869472,6.599999999999966
