timestamp,image_path,pred_lon,pred_lat,pred_alt,gt_lon,gt_lat,gt_alt,pred_east_m,pred_north_m,pixel_dx,pixel_dy,rotation_deg,affine_scale,match_confidence,num_matches,num_inliers,matcher_backend,yaw_deg,method,flight_phase,is_keyframe_reset,horizontal_error,altitude_error
1734763664200,F:\agent\UAV\data\IR-image\1734763664200.jpg,116.168975,38.8121207,483.54,116.168975,38.8121207,483.54,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,loftr,-99.59241923349008,scheme_d_initial,NA,False,0.0,0.0
1734763664400,F:\agent\UAV\data\IR-image\1734763664400.jpg,116.16902969427314,38.81212295366838,483.54,116.1690312,38.8121209,484.06,4.744243834242217,0.2508783638597224,-2.9133817857872373,13.012986489435548,-0.6073009361202809,1.0005297462306333,0.9414990859232175,1641,1545,loftr,-99.59241923349008,scheme_d_local_map,NA,True,0.26299734385377316,0.5199999999999818
1734763664600,F:\agent\UAV\data\IR-image\1734763664600.jpg,116.16907128789691,38.81212735815989,483.54,116.1690873,38.8121209,484.58,8.352122353235643,0.7411863585787779,-5.957900919286942,22.768940364915636,-0.9915084307537894,1.0037470461958655,0.8102524866105585,1307,1059,loftr,-99.59241923349008,scheme_d_local_map,NA,True,1.5621871300018073,1.0399999999999636
1734763664800,F:\agent\UAV\data\IR-image\1734763664800.jpg,116.16913770384065,38.81214343987913,483.54,116.1691435,38.8121208,485.11,14.113117307737916,2.531403344928679,-13.607177346371145,37.875921457549794,-1.5450973322771155,1.001301298619388,0.6541218637992832,1116,730,loftr,-99.59241923349008,scheme_d_local_map,NA,True,2.56704620492488,1.5699999999999932
1734763665000,F:\agent\UAV\data\IR-image\1734763665000.jpg,116.16919029793303,38.81215065745097,483.54,116.1691998,38.8121208,485.62,18.675189060348465,3.334863441922294,-17.9646951418747,50.126261244875934,-1.9119880841591739,1.0057086784119098,0.6351209253417456,951,604,loftr,-99.59241923349008,scheme_d_local_map,NA,True,3.420559277951054,2.079999999999984
1734763665200,F:\agent\UAV\data\IR-image\1734763665200.jpg,116.1692470309911,38.81215977875697,483.54,116.169256,38.8121206,486.12,23.596279432426865,4.350247226181224,-23.076665222460292,63.27110935371729,-1.6291580407354693,1.0047334484259405,0.6624869383490073,957,634,loftr,-99.59241923349008,scheme_d_local_map,NA,True,4.4252525290746,2.579999999999984
1734763665400,F:\agent\UAV\data\IR-image\1734763665400.jpg,116.16928811438811,38.812193763818,483.54,116.1693123,38.8121203,486.59,27.15990029777151,8.133464219990621,-35.2140506018506,71.36437003335197,-1.2648590771314083,1.0070326007069557,0.933115823817292,1226,1144,loftr,-99.59241923349008,scheme_d_local_map,NA,True,8.4333146967988,3.0499999999999545
1734763665600,F:\agent\UAV\data\IR-image\1734763665600.jpg,116.16930544517948,38.812256237721044,483.54,116.1693685,38.81212,487.15,28.66319297105619,15.088059106753061,-55.16496465384188,72.27203624989153,-1.4369225656470168,1.007621051192335,0.7663316582914573,796,610,loftr,-99.59241923349008,scheme_d_local_map,NA,True,16.103999993198535,3.609999999999957
1734763665800,F:\agent\UAV\data\IR-image\1734763665800.jpg,116.16936250962937,38.8122633963423,483.54,116.1694246,38.8121198,487.76,33.613028649050186,15.884956824827285,-59.68569040594525,85.59863412192817,-1.1564767370427123,1.0187695872451938,0.5537459283387622,614,340,loftr,-99.59241923349008,scheme_d_local_map,NA,True,16.84913359425416,4.21999999999997
1734763666000,F:\agent\UAV\data\IR-image\1734763666000.jpg,116.16938619946727,38.8122384619754,483.54,116.1694808,38.8121197,488.33,35.66791229581225,13.109263101300696,-52.96472411309122,92.58408529191615,-1.4087277403235663,1.0111029386172112,0.5916442048517521,742,439,loftr,-99.59241923349008,scheme_d_local_map,NA,True,15.542686036086971,4.789999999999964
1734763666200,F:\agent\UAV\data\IR-image\1734763666200.jpg,116.16941093343691,38.812186214024614,483.54,116.169537,38.8121196,488.97,37.81336512244863,7.293021220049238,-37.87099548663559,101.24236536733827,-1.8791113358166303,1.014266642396189,0.5944767441860465,688,409,loftr,-99.59241923349008,scheme_d_local_map,NA,True,13.197547010193325,5.430000000000007
1734763666400,F:\agent\UAV\data\IR-image\1734763666400.jpg,116.16946066737617,38.81213868060789,483.54,116.1695933,38.8121197,489.59,42.127343922116815,2.001601269588207,-25.24407437847077,115.65685488801415,-2.0602501269816322,1.0086932052350812,0.7067067067067067,999,706,loftr,-99.59241923349008,scheme_d_local_map,NA,True,11.683995499758959,6.0499999999999545
1734763666600,F:\agent\UAV\data\IR-image\1734763666600.jpg,116.16950886709704,38.81219667363314,483.54,116.1696498,38.8121196,490.14,46.30824286094917,8.457384840985487,-45.06686769377387,124.20846616820893,-1.859414649932623,1.012306334368484,0.7805519053876478,761,594,loftr,-99.59241923349008,scheme_d_local_map,NA,True,14.918308974056679,6.599999999999966
1734763666800,F:\agent\UAV\data\IR-image\1734763666800.jpg,116.1695440496775,38.81218646847641,483.54,116.1697062,38.8121196,490.75,49.36002014635138,7.321346793645692,-43.350148923338566,133.18603204183466,-1.7009979734934702,1.0154753759370199,0.6655982905982906,936,623,loftr,-99.59241923349008,scheme_d_local_map,NA,True,15.895568419082709,7.2099999999999795
