timestamp,image_path,pred_lon,pred_lat,pred_alt,gt_lon,gt_lat,gt_alt,pixel_dx,pixel_dy,inlier_ratio,scale_confidence,yaw_deg,blur_score,method,raw_alt_estimate,flight_phase,phase_confidence,scale_method,divergence_ratio,affine_scale,consistency_diff,pixels_per_meter_used,is_alt_fixed,physics_flag,ekf_innovation_alt,ekf_update_mode,is_keyframe_reset,num_tracked,horizontal_error,altitude_error
1734763664200,F:\agent\UAV\data\IR-image\1734763664200.jpg,116.168975,38.8121207,483.54,116.168975,38.8121207,483.54,0.0,0.0,0.8336933045356372,0.0,-101.32000000000026,2069.682235590285,initial,483.54,C,1.0,4,,,,,False,0,0.0,3,True,500,0.0,0.0
1734763664400,F:\agent\UAV\data\IR-image\1734763664400.jpg,116.168975,38.8121207,483.54,116.1690312,38.8121209,484.06,-1.395895252449361,3.7172653599662357,0.7379032258064516,0.192,-101.32000000000026,2790.3574093147745,lk,482.7207423592081,C,0.5,1,1.0022532825643715,1.0011416679282554,0.0011116146361160872,0.6629091562050128,False,1,-0.8192576407919319,3,False,366,4.8694326792149,0.5199999999999818
1734763664600,F:\agent\UAV\data\IR-image\1734763664600.jpg,116.168975,38.8121207,483.54,116.1690873,38.8121209,484.58,-1.6850243332815578,3.5954524483664936,0.47584789311408016,0.192,-101.32000000000026,5070.417090787356,orb,482.8664673704534,C,0.5,1,1.0013033534456777,1.0014863895317314,0.000183036086053745,0.662802726079697,False,1,-0.7417443369380408,3,True,463,9.730124822856794,1.0399999999999636
1734763664800,F:\agent\UAV\data\IR-image\1734763664800.jpg,116.168975,38.8121207,483.54,116.1691435,38.8121208,485.11,-2.232211471769839,3.2838722961641946,0.655241935483871,0.192,-101.32000000000026,4387.137644921206,lk,482.69319180197635,C,0.5,1,1.0015584370083521,1.00195032057132,0.0003918835629679318,0.6628551482092094,False,1,-0.7799266045950048,3,False,325,14.599485548453954,1.5699999999999932
1734763665000,F:\agent\UAV\data\IR-image\1734763665000.jpg,116.168975,38.8121207,483.54,116.1691998,38.8121208,485.62,-1.5056075723557194,3.6741980281798488,0.8615384615384616,0.192,-101.32000000000026,5091.775491268848,lk,483.6837028840025,C,0.5,1,0.9987297826386642,1.000677913645677,0.0019481310070127433,0.6624467520284377,False,1,-0.4823066531045015,3,False,280,19.477530765002236,2.079999999999984
