timestamp,image_path,pred_lon,pred_lat,pred_alt,gt_lon,gt_lat,gt_alt,pixel_dx,pixel_dy,inlier_ratio,scale_confidence,yaw_deg,blur_score,method,raw_alt_estimate,flight_phase,phase_confidence,scale_method,divergence_ratio,affine_scale,consistency_diff,pixels_per_meter_used,is_alt_fixed,physics_flag,ekf_innovation_alt,ekf_update_mode,is_keyframe_reset,num_tracked,horizontal_error,altitude_error
1734763664200,F:\agent\UAV\data\IR-image\1734763664200.jpg,116.168975,38.8121207,483.54,116.168975,38.8121207,483.54,0.0,0.0,0.8336933045356372,0.0,-101.32000000000026,2069.682235590285,initial,483.54,C,1.0,4,,,,,False,0,0.0,3,True,500,0.0,0.0
1734763664400,F:\agent\UAV\data\IR-image\1734763664400.jpg,116.16904315293094,38.81212936013379,483.54,116.1690312,38.8121209,484.06,-2.8476571375169053,7.583303414620797,0.7379032258064516,0.192,-101.32000000000026,2790.3574093147745,lk,482.7207423592081,C,0.5,1,1.0022532825643715,1.0011416679282554,0.0011116146361160872,1.35234931623997,False,1,-0.8192576407919319,2,False,366,1.3991173909211612,0.5199999999999818
1734763664600,F:\agent\UAV\data\IR-image\1734763664600.jpg,116.16904342418638,38.81212939460198,483.54,116.1690873,38.8121209,484.58,-3.437486846623517,7.334802385227615,0.47584789311408016,0.192,-101.32000000000026,5070.417090787356,orb,482.8664673704534,C,0.5,1,1.0013033534456777,1.0014863895317314,0.000183036086053745,1.3521321964342607,False,1,-0.7417443369380408,3,True,463,3.917154996054614,1.0399999999999636
1734763664800,F:\agent\UAV\data\IR-image\1734763664800.jpg,116.16910731842007,38.812150356144826,483.54,116.1691435,38.8121208,485.11,-4.553760691483616,6.699171994787794,0.655241935483871,0.192,-101.32000000000026,4387.137644921206,lk,482.69319180197635,C,0.5,1,1.0015584370083521,1.00195032057132,0.0003918835629679318,1.35223913873599,False,1,-0.7799266045950048,2,False,325,4.5418854828036395,1.5699999999999932
1734763665000,F:\agent\UAV\data\IR-image\1734763665000.jpg,116.16917568171358,38.812160712965884,483.54,116.1691998,38.8121208,485.62,-3.0714726926645244,7.495445106814309,0.8615384615384616,0.192,-101.32000000000026,5091.775491268848,lk,483.6837028840025,C,0.5,1,0.9987297826386642,1.000677913645677,0.0019481310070127433,1.3514060015094906,False,1,-0.4823066531045015,2,False,280,4.905486889757666,2.079999999999984
1734763665200,F:\agent\UAV\data\IR-image\1734763665200.jpg,116.16924482736022,38.81216882039038,483.54,116.169256,38.8121206,486.12,-2.7451106583943905,7.621024165046317,0.7571428571428571,0.192,-101.32000000000026,5265.783913881323,lk,483.2676115180934,C,0.5,1,1.0003348117127113,1.0007925710357282,0.00045775932301683753,1.351181966657406,False,1,-0.402212512161384,2,False,212,5.448555100224046,2.579999999999984
1734763665400,F:\agent\UAV\data\IR-image\1734763665400.jpg,116.16924588546826,38.8121690091014,483.54,116.1693123,38.8121203,486.59,-6.782775168356589,4.428273124658829,0.441,0.192,-101.32000000000026,3039.052411629995,orb,483.25362556988705,C,0.5,1,1.0006457708864478,1.0005394278597612,0.0001063430266865506,1.3510876710507076,False,1,-0.36849318234567363,3,True,441,7.902439126459996,3.0499999999999545
1734763665600,F:\agent\UAV\data\IR-image\1734763665600.jpg,116.16925691370365,38.81222248041362,483.54,116.1693685,38.81212,487.15,-8.089064634455816,-0.4274051832238553,0.5529531568228105,0.192,-101.32000000000026,5662.808925111211,orb,482.747092022578,C,1.0,1,1.0004586478410524,1.0028291400905138,0.002370492249461398,1.351367042292524,False,1,-0.4683803481898394,2,False,543,14.944176603492682,3.609999999999957
1734763665800,F:\agent\UAV\data\IR-image\1734763665800.jpg,116.16932580459206,38.81223324612941,483.54,116.1694246,38.8121198,487.76,-3.0901871089571036,7.4877490264221445,1.0,0.192,-101.32000000000026,5676.659542171807,lk,482.6027456844404,C,1.0,1,1.0029601304307019,1.0009260990696185,0.002034031361083377,1.3516790803658727,False,1,-0.5798984886088192,2,False,543,15.244772569100329,4.21999999999997
1734763666000,F:\agent\UAV\data\IR-image\1734763666000.jpg,116.1693692054102,38.81226769599703,483.54,116.1694808,38.8121197,488.33,-5.98734230392317,3.8295389892857066,1.0,0.0576,-101.32000000000026,5168.802823350989,lk,482.53288796326706,C,0.9999999999999952,1,1.003637807168152,1.0005412503071927,0.003096556860959332,1.3519819200237104,False,1,-0.6880800180544497,2,False,543,19.086722202016215,4.789999999999964
1734763666200,F:\agent\UAV\data\IR-image\1734763666200.jpg,116.1694127761512,38.81230228332532,483.54,116.169537,38.8121196,488.97,-5.98734230392317,3.8295389892857066,1.0,0.0576,-101.32000000000026,5281.21055640638,lk,483.2388956277198,C,0.9999999999999952,1,1.0005750508285571,1.000671146403952,9.609557539480562e-05,1.3517423261431263,False,1,-0.6024953892249982,2,False,543,22.988791139361382,5.430000000000007
1734763666400,F:\agent\UAV\data\IR-image\1734763666400.jpg,116.16945651609144,38.8123370075287,483.54,116.1695933,38.8121197,489.59,-5.98734230392317,3.8295389892857066,1.0,0.023039999999999998,-101.32000000000026,3119.9307705552783,lk,483.3662088840488,C,1.0,1,0.9987053097444216,1.0001581860619704,0.001452876317548757,1.3515074402325276,False,1,-0.5185630244033632,2,False,543,26.9134391440382,6.0499999999999545
1734763666600,F:\agent\UAV\data\IR-image\1734763666600.jpg,116.16949994786138,38.81238082519646,483.54,116.1696498,38.8121196,490.14,-7.299739167946209,3.5113316463989004,0.998158379373849,0.192,-101.32000000000026,5661.239113469337,lk,482.7833818133819,C,1.0,1,1.0020434985577125,1.0010913543148687,0.0009521442428437332,1.3516821007793651,False,1,-0.5809776914821327,2,False,542,31.81671091782516,6.599999999999966
1734763666800,F:\agent\UAV\data\IR-image\1734763666800.jpg,116.16954906060616,38.81241290430732,483.54,116.1697062,38.8121196,490.75,-5.670390637734565,4.497539528135633,1.0,0.0576,-101.32000000000026,3776.3579028028144,lk,483.10348175156724,C,1.0,1,1.0012052526085946,1.0006020709438475,0.0006031816647471544,1.3516223021673446,False,1,-0.5596105690614763,2,False,542,35.3418226290453,7.2099999999999795
1734763667000,F:\agent\UAV\data\IR-image\1734763667000.jpg,116.16959422199716,38.81244925062517,483.54,116.1697627,38.8121195,491.42,-6.186431343490057,3.8994976284783305,1.0,0.0576,-101.32000000000026,2167.10215749397,lk,483.23609736463595,C,1.0,1,1.0010218137364233,1.0002362757886192,0.0007855379478041158,1.3514017018044877,False,1,-0.48076972623960046,2,False,542,39.46557039991688,7.8799999999999955
1734763667200,F:\agent\UAV\data\IR-image\1734763667200.jpg,116.16963971608205,38.812485960306574,483.54,116.1698192,38.8121194,492.09,-6.226249151403434,3.9134893563168553,1.0,0.0576,-101.32000000000026,2128.5589935021007,lk,482.31304883543976,C,1.0,1,1.0044319277678575,1.0006629360987378,0.0037689916691197034,1.3518416770025612,False,1,-0.6379879006282749,2,False,542,43.62557747537755,8.549999999999955
1734763667400,F:\agent\UAV\data\IR-image\1734763667400.jpg,116.16970396784842,38.81251151596847,483.54,116.1698757,38.8121193,492.77,-4.987142279907579,6.3831069026774605,1.0,0.0576,-101.32000000000026,4396.074432343842,lk,482.2103148672155,B,1.0,1,1.004901095348014,1.0006229898496681,0.004278105498345841,1.3523384577830715,False,1,-0.5,2,False,542,46.080886088666965,9.229999999999961
1734763667600,F:\agent\UAV\data\IR-image\1734763667600.jpg,116.16975402716244,38.812546780218504,483.54,116.1699323,38.8121191,493.49,-6.0739905160963685,4.440993012401436,1.0,0.017279999999999997,-101.32000000000026,4651.611163157821,lk,483.0685210699298,B,1.0,1,1.0014630811558665,1.0004894091827052,0.0009736719731612276,1.3522151445487485,False,1,-0.5,2,False,542,50.001518874067806,9.949999999999989
1734763667800,F:\agent\UAV\data\IR-image\1734763667800.jpg,116.16981610139311,38.81257620592551,483.54,116.1699891,38.8121188,494.14,-5.466377123286669,5.977822596653281,1.0,0.0576,-101.32000000000026,3367.017826560652,lk,482.6156947959327,B,1.0,1,1.0030414840991932,1.000791440853759,0.002250043245434208,1.3523611857504674,False,1,-0.5,2,False,542,53.02402374011883,10.599999999999966
1734763668000,F:\agent\UAV\data\IR-image\1734763668000.jpg,116.16988688078048,38.8125889206629,483.54,116.1700459,38.8121185,494.74,-3.1810715024255547,7.449592334316451,1.0,0.0576,-101.32000000000026,2606.652834799057,lk,482.49598689046127,B,1.0,1,1.0033141632706624,1.001016023221726,0.002298140048936359,1.3525368658620622,False,1,-0.5,2,False,542,54.09258931498154,11.199999999999989
