timestamp,image_path,pred_lon,pred_lat,pred_alt,gt_lon,gt_lat,gt_alt,pixel_dx,pixel_dy,inlier_ratio,scale_confidence,yaw_deg,blur_score,method,raw_alt_estimate,flight_phase,phase_confidence,phase_from_vision,scale_trend,scale_trend_ratio,up_ratio,down_ratio,stable_ratio,scale_method,divergence_ratio,affine_scale,consistency_diff,pixels_per_meter_used,is_alt_fixed,cumulative_window_n,delta_alt_cumulative,mpp_history_median,mpp_current_raw,mpp_ratio,alt_fixed_triggered,physics_flag,ekf_innovation_alt,ekf_v_alt,ekf_update_mode,is_keyframe_reset,num_tracked,affine_rotation_deg,phase_dx,phase_dy,phase_response,fourier_rotation_deg,fourier_response,map_pixel_dx,map_pixel_dy,horizontal_error,altitude_error
1734763664200,F:\agent\UAV\data\IR-image\1734763664200.jpg,116.168975,38.8121207,483.54,116.168975,38.8121207,483.54,0.0,0.0,0.8336933045356372,0.0,-101.32000000000026,2069.682235590285,initial,483.54,C,1.0,C,transition,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,4,,,,,False,0,,,,,0,0,0.0,0.0,3,True,500,,,,0.0,,0.0,,,0.0,0.0
1734763664400,F:\agent\UAV\data\IR-image\1734763664400.jpg,116.16903229772265,38.81212276330237,484.1763787559718,116.1690312,38.8121209,484.06,-3.2004424972495826,13.459261937601752,0.7379032258064516,0.588,-100.72981881959346,2790.3574093147745,lk,484.35925764079195,C,0.5,A_down,down,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,1.0022532825643715,1.0011416679282554,0.0011116146361160872,2.778187893414795,False,1,-1.0871027016129633,0.3596424451980839,0.35994685685958244,1.0008464286281082,0,0,0.8192576407919319,3.173958850991893e-08,1,False,366,-0.590181180406808,-4.902612266898075,12.86064304112844,0.9015306564047932,,0.2940217964060139,,,0.22797762338474453,0.11637875597182301
1734763664600,F:\agent\UAV\data\IR-image\1734763664600.jpg,116.16903252577329,38.81212277151452,484.17637876231976,116.1690873,38.8121209,484.58,-3.9541460123271577,8.881526857376372,0.47584789311408016,0.588,-100.50863547477073,5070.417090787356,orb+phase,484.96501906288836,C,0.5,A_down,down,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,1.0013033534456777,1.0014863895317314,0.000183036086053745,2.774635711852621,False,2,-1.717348059037365,0.35994685685958244,0.36039702255054584,1.0012506448726652,0,0,0.8029718215241815,3.173958850991893e-08,3,True,463,-0.22118334482273688,-3.9541460123271577,8.881526857376372,0.9160795072093606,,0.3273996934585739,,,4.750407824557416,0.40362123768022684
1734763664800,F:\agent\UAV\data\IR-image\1734763664800.jpg,116.16909715784925,38.812141638507846,484.52149866805803,116.1691435,38.8121208,485.11,-8.457865410245915,14.24866648510124,0.655241935483871,0.588,-100.09707447855871,4387.137644921206,lk,485.0589526489199,C,0.5,A_down,down,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,1.0015584370083521,1.00195032057132,0.0003918835629679318,2.774461262198711,False,3,-2.468060130057343,0.3601719397050641,0.36046682837857996,1.0008187441635719,0,0,0.833465836129335,0.0022580172236881415,1,False,325,-0.41156099621202186,-9.51435437134569,13.431331609642456,0.9636174551211297,,0.33784805121831596,,,4.635886798732721,0.5885013319419841
1734763665000,F:\agent\UAV\data\IR-image\1734763665000.jpg,116.1691468938074,38.81214786676559,484.77001025800064,116.1691998,38.8121208,485.62,-3.905626375567806,11.353829793794887,0.8615384615384616,0.588,-99.88533180029341,5091.775491268848,lk,484.91816252266625,C,0.5,A_down,down,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,0.9987297826386642,1.000677913645677,0.0019481310070127433,2.773287118637552,False,4,-1.8567319200598649,0.36036220156981674,0.36036220156981674,1.0,0,0,0.6932359231765872,0.0065486387386203375,1,False,280,-0.2117426782652965,-4.075293427578458,11.336306467035257,0.960501543385908,,0.36920993981766514,,,5.483724364109704,0.8499897419993658
1734763665200,F:\agent\UAV\data\IR-image\1734763665200.jpg,116.16921211173337,38.8121564213733,484.9186315829332,116.169256,38.8121206,486.12,-5.263207236976029,14.847406178437382,0.7571428571428571,0.588,-99.98346666279079,5265.783913881323,lk,485.1652075559712,C,0.5,A_down,down,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,1.0003348117127113,1.0007925710357282,0.00045775932301683753,2.772407319444367,False,5,-2.0193185517659065,0.3603796120601813,0.3605457906761219,1.0004611210245513,0,0,0.5978450006984986,0.012202520730244866,1,False,212,0.09813486249737662,-5.054840465476673,14.703667359766229,0.9469876596704125,,0.36287649325095117,,,5.506875727933246,1.201368417066817
1734763665400,F:\agent\UAV\data\IR-image\1734763665400.jpg,116.16921304155946,38.81215656148113,484.9210720870792,116.1693123,38.8121203,486.59,-10.208207673871698,7.772019187273969,0.441,0.588,-100.14882849716643,3039.052411629995,orb+phase,485.2460902569312,C,0.5,A_down,down,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,1.0006457708864478,1.0005394278597612,0.0001063430266865506,2.7719942148958685,False,6,-2.3315845863955054,0.36039702255054584,0.3606058978662408,1.000579570037002,0,0,0.5204264593293146,0.012202520730244866,3,True,441,0.16536183437564075,-10.208207673871698,7.772019187273969,0.8870111646130681,,0.30175940168555826,,,9.498420920278928,1.6689279129207648
1734763665600,F:\agent\UAV\data\IR-image\1734763665600.jpg,116.16923079644634,38.81222278580826,484.92351259122523,116.1693685,38.81212,487.15,-20.805367070346847,0.34174933339522795,0.5529531568228105,0.1176,-100.27991901954842,5662.808925111211,orb,485.7898809971799,C,0.5,A_down,down,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,1.0004586478410524,1.0028291400905138,0.002370492249461398,2.7715323887419494,False,7,-2.552834590814457,0.36043192546456293,0.3610100106495811,1.00160386787123,0,1,0.5988760725555835,0.012202520730244866,2,False,543,0.13109052238197655,-20.57290385269755,0.013960553138701925,0.9474481770768761,,0.325671344762668,,,16.522128515243722,2.2264874087747444
1734763665800,F:\agent\UAV\data\IR-image\1734763665800.jpg,116.169289380924,38.812231182165334,485.0871154780859,116.1694246,38.8121198,487.76,-4.885797944502315,13.201568633074714,1.0,0.588,-100.20201212930967,5676.659542171807,lk,485.39882260470836,C,0.5,A_down,down,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,1.0029601304307019,1.0009260990696185,0.002034031361083377,2.7717122107259726,False,8,-3.9765204897057074,0.36046682837857996,0.3607193994204197,1.000700677626776,0,0,0.5649360502130776,0.03428095469189037,1,False,543,-0.07790689023875523,-5.013937772166514,12.942600668247309,0.9704501037485898,,0.3942985874164151,,,17.048574863357274,2.6728845219141135
1734763666000,F:\agent\UAV\data\IR-image\1734763666000.jpg,116.16931401769433,38.81220061677124,485.09397166902426,116.1694808,38.8121197,488.33,8.441366754916032,7.217283175240823,1.0,0.18144,-100.04285833947166,5168.802823350989,lk,485.5430549471757,C,0.7333333333333333,A_down,transition,"up=0.400,stable=0.500,down=0.000",0.4,0.0,0.5,1,1.003637807168152,1.0005412503071927,0.003096556860959332,2.7710036991153024,False,9,-5.7217619469863035,0.36050630952735097,0.3608265842785795,1.0008884026236557,0,3,0.521051533813079,0.03428095469189037,2,False,543,-0.15915378983800782,7.980411523146074,7.203963158519031,0.9868066227529197,,0.392675049835816,,,17.022837957799698,3.236028330975728
1734763666200,F:\agent\UAV\data\IR-image\1734763666200.jpg,116.16933606674047,38.81215254441839,485.2032674286959,116.169537,38.8121196,488.97,13.896338350345957,7.41178855643733,1.0,0.6719999999999999,-99.60305563491669,5281.21055640638,lk,485.56337310091476,A_down,0.7469696969696968,A_down,transition,"up=0.364,stable=0.545,down=0.000",0.36363636363636365,0.0,0.5454545454545454,1,1.0005750508285571,1.000671146403952,9.609557539480562e-05,2.7711344997327605,False,10,-5.997351667817552,0.3605457906761219,0.3608416835163048,1.0008206803347448,0,0,0.4912737759539709,0.05163695578146983,1,False,543,-0.4398027045549807,13.389793292282263,7.219892803350007,0.9738878485746681,,0.36795978934969753,,,17.79084803872307,3.7667325713041464
1734763666400,F:\agent\UAV\data\IR-image\1734763666400.jpg,116.16939118533332,38.81210770652609,485.2135948198522,116.1695933,38.8121197,489.59,11.569888020562985,15.029231470401953,1.0,0.1344,-99.45079262166125,3119.9307705552783,lk,485.46678078493073,A_down,0.7583333333333333,A_down,transition,"up=0.333,stable=0.583,down=0.000",0.3333333333333333,0.0,0.5833333333333334,1,0.9987053097444216,1.0001581860619704,0.001452876317548757,2.7708109697977363,False,10,-4.296300418751145,0.3605758442711814,0.36076990187904534,1.0005381880426742,0,1,0.43520631047346114,0.05163695578146983,2,False,543,-0.15226301325543143,11.510737639403544,14.872743501482034,0.9365216329693794,,0.362106088839937,,,17.56269264860094,4.376405180147799
1734763666600,F:\agent\UAV\data\IR-image\1734763666600.jpg,116.16944200153297,38.81216322399602,485.22392221100847,116.1696498,38.8121196,490.14,-18.83874067561021,8.918804762993432,0.998158379373849,0.1344,-99.27967250694576,5661.239113469337,lk,485.72099027813647,A_down,0.7448717948717948,A_down,transition,"up=0.385,stable=0.538,down=0.000",0.38461538461538464,0.0,0.5384615384615384,1,1.0020434985577125,1.0010913543148687,0.0009521442428437332,2.7706686286843145,False,10,-4.651622110469625,0.3606058978662408,0.36095881518382855,1.0009786787173367,0,1,0.4498287781235035,0.05163695578146983,2,False,542,-0.17112011471548588,-19.19521027809725,8.818442474972926,0.9469714323058724,,0.36525609550153604,,,18.64644845316882,4.916077788991515
1734763666800,F:\agent\UAV\data\IR-image\1734763666800.jpg,116.16947683980926,38.81215155866479,485.38001797009633,116.1697062,38.8121196,490.75,2.315908397667158,8.436060259411136,1.0,0.6719999999999999,-99.31391263588036,3776.3579028028144,lk,485.6043439897151,A_down,0.7547619047619046,A_down,transition,"up=0.357,stable=0.571,down=0.000",0.35714285714285715,0.0,0.5714285714285714,1,1.0012052526085946,1.0006020709438475,0.0006031816647471544,2.770716515614669,False,10,-4.482191189020915,0.36066264864333025,0.3608721306326008,1.0005808252949357,0,0,0.43110737590274084,0.09457884482190668,1,False,542,0.03424012893460131,2.6618174036308346,8.221739689161552,0.9605705664493144,,0.3834316147840582,,,20.187868957274087,5.369982029903667
1734763667000,F:\agent\UAV\data\IR-image\1734763667000.jpg,116.16951712953433,38.812112052347786,485.52099952088764,116.1697627,38.8121195,491.42,10.614428384952475,11.047447982004712,1.0,0.6719999999999999,-99.10099918871413,2167.10215749397,lk,485.7355071951645,A_down,0.7633333333333332,A_down,transition,"up=0.333,stable=0.600,down=0.000",0.3333333333333333,0.0,0.6,1,1.0010218137364233,1.0002362757886192,0.0007855379478041158,2.7700185072881287,False,10,-5.584859879437064,0.3607193994204197,0.36096960328908945,1.0006936246541542,0,0,0.38880453797315795,0.13775820801483932,1,False,542,-0.2129134471662311,10.61778377215586,11.10864609164878,0.9867641638964415,,0.3765054028481245,,,21.293271510555037,5.899000479112374
1734763667200,F:\agent\UAV\data\IR-image\1734763667200.jpg,116.16957108750262,38.81212004857256,485.67715018156275,116.1698192,38.8121194,492.09,-4.358359035559204,11.954224938340246,1.0,0.6719999999999999,-98.80226709595901,2128.5589935021007,lk,486.0866065924915,A_down,0.7708333333333333,A_down,stable,"up=0.312,stable=0.625,down=0.000",0.3125,0.0,0.625,1,1.0044319277678575,1.0006629360987378,0.0037689916691197034,2.76898291016785,False,10,-7.544364473265814,0.3607446506497325,0.36123051938085304,1.0013468494411364,0,0,0.4208712921448523,0.19129422358769402,1,False,542,-0.2987320927551139,-4.390187784609736,11.735429273306579,0.9873696438036859,,0.40727188155869953,,,21.497532370954215,6.412849818437223
1734763667400,F:\agent\UAV\data\IR-image\1734763667400.jpg,116.16960944291368,38.812134883422516,485.8602730359144,116.1698757,38.8121193,492.77,-5.829260585486907,7.895523751605992,1.0,0.6719999999999999,-98.63094644624759,4396.074432343842,lk,486.3452024660677,A_down,0.7774509803921568,A_down,stable,"up=0.294,stable=0.647,down=0.000",0.29411764705882354,0.0,0.6470588235294118,1,1.004901095348014,1.0006229898496681,0.004278105498345841,2.7677286638834744,False,10,-9.571795066478431,0.36076990187904534,0.3614226923814146,1.0018094372589543,0,0,0.4742392584329309,0.25983649953108234,1,False,542,-0.17132064971141917,-6.922980348059639,8.020354958983347,0.9485998770222068,,0.3813106528832577,,,23.134510848712623,6.909726964085564
1734763667600,F:\agent\UAV\data\IR-image\1734763667600.jpg,116.16965973703999,38.812120890731066,486.07272400072685,116.1699323,38.8121191,493.49,2.524709383185268,12.044395417276633,1.0,0.6719999999999999,-98.78079908594503,4651.611163157821,lk,486.53375829086235,A_down,0.7833333333333332,A_down,stable,"up=0.278,stable=0.667,down=0.000",0.2777777777777778,0.0,0.6666666666666666,1,1.0014630811558665,1.0004894091827052,0.0009736719731612276,2.7663563566175475,False,10,-10.053423270964794,0.3607982430788124,0.3615628158030418,1.002119114321913,0,0,0.5185922002864913,0.3432223295563021,1,False,542,0.14985263969744395,2.436948552427225,11.831833501446653,0.9973760508000851,,0.3735273572965525,,,23.61673192331644,7.4172759992731585
